# E [TeV]      # E low [TeV]  # E high [TeV] # Phi [TeV-1 cm-2 s-1]  # Phi low [TeV-1 cm-2 s-1]  # Phi high [TeV-1 cm-2 s-1] # UL
0.487          0.4217         0.5623         5.23432e-11             4.26695e-11                 6.20168e-11                 0
0.6494         0.5623         0.7499         1.33631e-11             1.02182e-11                 1.6508e-11                  0
0.866          0.7499         1              7.40416e-12             5.75695e-12                 9.05137e-12                 0
1.155          1              1.334          3.30324e-12             2.43883e-12                 4.16766e-12                 0
1.54           1.334          1.778          1.2917e-12              8.71742e-13                 1.71166e-12                 0
2.054          1.778          2.371          2.09833e-13             5.53866e-14                 3.64279e-13                 0
2.738          2.371          3.162          1.38847e-13             4.45642e-14                 2.33129e-13                 0
3.652          3.162          4.217          4.23984e-13             -1                          -1                          1
4.87           4.217          5.623          7.93408e-14             -1                          -1                          1
6.494          5.623          7.499          3.4912e-14              -1                          -1                          1
